34,8600000US10036,ZCTA5 10036,27428,1520,27428,(X),26713,1487,97.4,1.2,715,325,2.6,1.2,26713,1487,97.4,1.2,17319,1408,63.1,4.1,1978,374,7.2,1.3,137,161,0.5,0.6,5218,819,19.0,2.7,12,19,0.0,0.1,2049,881,7.5,3.2,715,325,2.6,1.2,163,102,0.6,0.4,0,22,0.0,0.1,185,139,0.7,0.5,0,22,0.0,0.1,27428,1520,27428,(X),5908,1001,21.5,3.4
35,8600000US10037,ZCTA5 10037,21139,1274,21139,(X),19976,1300,94.5,1.9,1163,407,5.5,1.9,19976,1300,94.5,1.9,2291,485,10.8,2.1,15206,1198,71.9,3.1,5,12,0.0,0.1,528,177,2.5,0.9,26,32,0.1,0.2,1920,611,9.1,2.9,1163,407,5.5,1.9,298,167,1.4,0.8,25,37,0.1,0.2,61,52,0.3,0.2,67,65,0.3,0.3,21139,1274,21139,(X),4517,611,21.4,2.7
36,8600000US10038,ZCTA5 10038,22800,1114,22800,(X),21926,1107,96.2,1.3,874,304,3.8,1.3,21926,1107,96.2,1.3,11784,869,51.7,3.1,2128,505,9.3,2.1,49,63,0.2,0.3,7249,744,31.8,2.9,0,22,0.0,0.1,716,249,3.1,1.1,874,304,3.8,1.3,280,240,1.2,1.1,78,64,0.3,0.3,341,147,1.5,0.6,48,77,0.2,0.3,22800,1114,22800,(X),3218,513,14.1,2.3
37,8600000US10039,ZCTA5 10039,27726,1517,27726,(X),26338,1453,95.0,2.1,1388,584,5.0,2.1,26338,1453,95.0,2.1,3625,848,13.1,3.0,17158,1287,61.9,4.0,158,120,0.6,0.4,452,152,1.6,0.6,11,24,0.0,0.1,4934,1215,17.8,4.1,1388,584,5.0,2.1,548,462,2.0,1.6,0,22,0.0,0.1,37,32,0.1,0.1,487,330,1.8,1.2,27726,1517,27726,(X),9378,1190,33.8,3.6
38,8600000US10040,ZCTA5 10040,44571,1936,44571,(X),41402,1913,92.9,1.9,3169,871,7.1,1.9,41402,1913,92.9,1.9,16091,1159,36.1,2.5,4359,707,9.8,1.6,554,339,1.2,0.8,1355,317,3.0,0.7,0,25,0.0,0.1,19043,1625,42.7,2.7,3169,871,7.1,1.9,1447,751,3.2,1.7,115,120,0.3,0.3,168,103,0.4,0.2,0,25,0.0,0.1,44571,1936,44571,(X),30968,1996,69.5,2.1
39,8600000US10044,ZCTA5 10044,11682,825,11682,(X),11204,824,95.9,2.0,478,235,4.1,2.0,11204,824,95.9,2.0,5320,645,45.5,4.8,1420,356,12.2,3.0,0,19,0.0,0.3,3963,642,33.9,5.0,0,19,0.0,0.3,501,267,4.3,2.2,478,235,4.1,2.0,42,53,0.4,0.5,26,31,0.2,0.3,253,184,2.2,1.6,0,19,0.0,0.3,11682,825,11682,(X),1553,364,13.3,2.8
40,8600000US10065,ZCTA5 10065,28109,1660,28109,(X),27761,1697,98.8,0.6,348,160,1.2,0.6,27761,1697,98.8,0.6,24285,1502,86.4,2.4,619,323,2.2,1.1,37,46,0.1,0.2,2666,600,9.5,2.0,0,22,0.0,0.1,154,82,0.5,0.3,348,160,1.2,0.6,30,50,0.1,0.2,29,47,0.1,0.2,253,135,0.9,0.5,0,22,0.0,0.1,28109,1660,28109,(X),1849,516,6.6,1.8
41,8600000US10115,ZCTA5 10115,0,12,0,(X),0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,0,(X),0,12,-,**
42,8600000US10119,ZCTA5 10119,0,12,0,(X),0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,0,(X),0,12,-,**
43,8600000US10128,ZCTA5 10128,59256,1931,59256,(X),56859,1941,96.0,1.1,2397,656,4.0,1.1,56859,1941,96.0,1.1,47167,1902,79.6,2.2,2182,538,3.7,0.9,0,28,0.0,0.1,5844,938,9.9,1.5,0,28,0.0,0.1,1666,619,2.8,1.0,2397,656,4.0,1.1,466,202,0.8,0.3,83,57,0.1,0.1,1122,427,1.9,0.7,0,28,0.0,0.1,59256,1931,59256,(X),7307,995,12.3,1.6
44,8600000US10154,ZCTA5 10154,0,12,0,(X),0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,0,(X),0,12,-,**
45,8600000US10278,ZCTA5 10278,0,12,0,(X),0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,0,(X),0,12,-,**
46,8600000US10280,ZCTA5 10280,9384,795,9384,(X),9095,750,96.9,2.1,289,208,3.1,2.1,9095,750,96.9,2.1,7360,652,78.4,4.2,184,124,2.0,1.3,0,17,0.0,0.3,1474,368,15.7,3.5,0,17,0.0,0.3,77,102,0.8,1.1,289,208,3.1,2.1,129,190,1.4,2.0,0,17,0.0,0.3,70,49,0.7,0.5,0,17,0.0,0.3,9384,795,9384,(X),826,304,8.8,3.1
47,8600000US10301,ZCTA5 10301,38733,1387,38733,(X),36346,1385,93.8,2.7,2387,1083,6.2,2.7,36346,1385,93.8,2.7,22280,1405,57.5,3.2,9668,969,25.0,2.5,39,42,0.1,0.1,2351,500,6.1,1.3,11,17,0.0,0.1,1997,606,5.2,1.6,2387,1083,6.2,2.7,1643,1011,4.2,2.6,94,66,0.2,0.2,78,45,0.2,0.1,77,57,0.2,0.1,38733,1387,38733,(X),9591,1097,24.8,2.6
48,8600000US10302,ZCTA5 10302,18204,988,18204,(X),17671,910,97.1,1.1,533,205,2.9,1.1,17671,910,97.1,1.1,11286,855,62.0,3.8,3754,616,20.6,3.3,212,231,1.2,1.3,1335,340,7.3,1.8,1,2,0.0,0.1,1083,392,5.9,2.1,533,205,2.9,1.1,132,96,0.7,0.5,8,14,0.0,0.1,125,116,0.7,0.6,12,19,0.1,0.1,18204,988,18204,(X),7479,975,41.1,4.2
49,8600000US10303,ZCTA5 10303,25947,1488,25947,(X),25065,1485,96.6,1.0,882,255,3.4,1.0,25065,1485,96.6,1.0,11406,1243,44.0,3.6,9170,1002,35.3,3.5,126,88,0.5,0.3,2106,462,8.1,1.8,0,22,0.0,0.1,2257,679,8.7,2.6,882,255,3.4,1.0,312,191,1.2,0.7,15,19,0.1,0.1,80,61,0.3,0.2,9,14,0.0,0.1,25947,1488,25947,(X),10103,1176,38.9,3.6
50,8600000US10304,ZCTA5 10304,41064,2097,41064,(X),40033,2102,97.5,1.0,1031,402,2.5,1.0,40033,2102,97.5,1.0,21403,1669,52.1,3.2,11277,1396,27.5,2.9,99,134,0.2,0.3,3969,575,9.7,1.3,26,29,0.1,0.1,3259,935,7.9,2.2,1031,402,2.5,1.0,251,203,0.6,0.5,16,25,0.0,0.1,219,259,0.5,0.6,93,120,0.2,0.3,41064,2097,41064,(X),10363,1373,25.2,2.9
51,8600000US10305,ZCTA5 10305,42298,1618,42298,(X),41293,1557,97.6,0.9,1005,369,2.4,0.9,41293,1557,97.6,0.9,31174,1196,73.7,2.7,2770,698,6.5,1.6,189,158,0.4,0.4,5509,870,13.0,1.9,0,25,0.0,0.1,1651,616,3.9,1.4,1005,369,2.4,0.9,267,173,0.6,0.4,172,217,0.4,0.5,263,184,0.6,0.4,11,25,0.0,0.1,42298,1618,42298,(X),6920,1073,16.4,2.3
52,8600000US10306,ZCTA5 10306,53142,1630,53142,(X),51790,1653,97.5,0.9,1352,492,2.5,0.9,51790,1653,97.5,0.9,45560,1545,85.7,2.3,1775,715,3.3,1.3,36,50,0.1,0.1,3141,773,5.9,1.4,0,28,0.0,0.1,1278,446,2.4,0.8,1352,492,2.5,0.9,543,312,1.0,0.6,72,85,0.1,0.2,294,203,0.6,0.4,15,23,0.0,0.1,53142,1630,53142,(X),7815,1153,14.7,2.0
53,8600000US10307,ZCTA5 10307,15232,756,15232,(X),15143,742,99.4,0.7,89,106,0.6,0.7,15143,742,99.4,0.7,14284,779,93.8,2.7,56,58,0.4,0.4,19,29,0.1,0.2,418,210,2.7,1.4,0,19,0.0,0.2,366,362,2.4,2.4,89,106,0.6,0.7,0,19,0.0,0.2,35,65,0.2,0.4,54,73,0.4,0.5,0,19,0.0,0.2,15232,756,15232,(X),1399,461,9.2,2.9
54,8600000US10309,ZCTA5 10309,33531,1561,33531,(X),33286,1563,99.3,0.3,245,116,0.7,0.3,33286,1563,99.3,0.3,30789,1591,91.8,1.9,293,239,0.9,0.7,173,138,0.5,0.4,1206,315,3.6,0.9,0,25,0.0,0.1,825,465,2.5,1.4,245,116,0.7,0.3,0,25,0.0,0.1,132,91,0.4,0.3,33,51,0.1,0.2,0,25,0.0,0.1,33531,1561,33531,(X),3107,627,9.3,1.8
55,8600000US10310,ZCTA5 10310,23262,1146,23262,(X),22320,1108,96.0,1.3,942,311,4.0,1.3,22320,1108,96.0,1.3,13731,707,59.0,3.1,4844,683,20.8,2.6,16,18,0.1,0.1,1459,298,6.3,1.3,0,22,0.0,0.1,2270,845,9.8,3.4,942,311,4.0,1.3,327,182,1.4,0.8,65,63,0.3,0.3,141,105,0.6,0.5,58,51,0.2,0.2,23262,1146,23262,(X),7351,929,31.6,3.2
56,8600000US10312,ZCTA5 10312,61741,1656,61741,(X),60976,1687,98.8,0.4,765,262,1.2,0.4,60976,1687,98.8,0.4,56226,1788,91.1,1.2,793,356,1.3,0.6,12,21,0.0,0.1,3364,499,5.4,0.8,59,64,0.1,0.1,522,231,0.8,0.4,765,262,1.2,0.4,184,147,0.3,0.2,37,49,0.1,0.1,367,170,0.6,0.3,10,15,0.0,0.1,61741,1656,61741,(X),6234,887,10.1,1.4
57,8600000US10314,ZCTA5 10314,90761,1933,90761,(X),88404,2032,97.4,0.6,2357,569,2.6,0.6,88404,2032,97.4,0.6,66310,2084,73.1,1.4,3852,654,4.2,0.7,109,100,0.1,0.1,15049,1107,16.6,1.2,76,91,0.1,0.1,3008,769,3.3,0.9,2357,569,2.6,0.6,413,206,0.5,0.2,112,87,0.1,0.1,813,388,0.9,0.4,0,28,0.0,0.1,90761,1933,90761,(X),13726,1124,15.1,1.1
58,8600000US10451,ZCTA5 10451,47798,1915,47798,(X),45848,2046,95.9,1.3,1950,593,4.1,1.3,45848,2046,95.9,1.3,5972,1132,12.5,2.3,19379,1746,40.5,3.1,107,73,0.2,0.2,557,220,1.2,0.5,96,129,0.2,0.3,19737,1806,41.3,3.5,1950,593,4.1,1.3,418,183,0.9,0.4,127,124,0.3,0.3,72,81,0.2,0.2,217,183,0.5,0.4,47798,1915,47798,(X),28236,1672,59.1,2.6
59,8600000US10452,ZCTA5 10452,76078,1927,76078,(X),72567,2008,95.4,1.0,3511,740,4.6,1.0,72567,2008,95.4,1.0,9592,1217,12.6,1.6,25249,1625,33.2,2.0,285,145,0.4,0.2,1107,298,1.5,0.4,171,232,0.2,0.3,36163,2210,47.5,2.6,3511,740,4.6,1.0,1480,582,1.9,0.8,126,104,0.2,0.1,269,310,0.4,0.4,106,81,0.1,0.1,76078,1927,76078,(X),51823,2221,68.1,2.2
60,8600000US10453,ZCTA5 10453,79606,1822,79606,(X),77525,1835,97.4,0.6,2081,493,2.6,0.6,77525,1835,97.4,0.6,6841,984,8.6,1.2,25826,1562,32.4,2.0,416,199,0.5,0.3,1044,359,1.3,0.5,0,28,0.0,0.1,43398,2217,54.5,2.2,2081,493,2.6,0.6,575,243,0.7,0.3,18,22,0.0,0.1,313,273,0.4,0.3,151,134,0.2,0.2,79606,1822,79606,(X),55051,2182,69.2,2.0
61,8600000US10454,ZCTA5 10454,38203,1531,38203,(X),37106,1595,97.1,1.0,1097,379,2.9,1.0,37106,1595,97.1,1.0,5040,694,13.2,1.8,12109,1238,31.7,3.0,310,188,0.8,0.5,184,109,0.5,0.3,20,35,0.1,0.1,19443,1442,50.9,2.9,1097,379,2.9,1.0,355,200,0.9,0.5,0,25,0.0,0.1,8,12,0.0,0.1,26,30,0.1,0.1,38203,1531,38203,(X),25956,1390,67.9,2.4
62,8600000US10455,ZCTA5 10455,42283,1979,42283,(X),41029,1918,97.0,0.8,1254,364,3.0,0.8,41029,1918,97.0,0.8,5221,796,12.3,1.9,12809,1162,30.3,3.0,352,194,0.8,0.5,542,358,1.3,0.8,156,151,0.4,0.4,21949,2021,51.9,3.3,1254,364,3.0,0.8,251,123,0.6,0.3,11,19,0.0,0.1,61,70,0.1,0.2,125,127,0.3,0.3,42283,1979,42283,(X),30372,2005,71.8,2.6
63,8600000US10456,ZCTA5 10456,94218,2526,94218,(X),91192,2596,96.8,0.7,3026,692,3.2,0.7,91192,2596,96.8,0.7,10146,1186,10.8,1.3,40069,2438,42.5,2.4,1311,535,1.4,0.6,809,372,0.9,0.4,130,205,0.1,0.2,38727,2707,41.1,2.5,3026,692,3.2,0.7,921,384,1.0,0.4,66,88,0.1,0.1,228,233,0.2,0.2,185,121,0.2,0.1,94218,2526,94218,(X),57971,2329,61.5,1.7
64,8600000US10457,ZCTA5 10457,74554,2207,74554,(X),72103,2237,96.7,0.7,2451,504,3.3,0.7,72103,2237,96.7,0.7,11452,1249,15.4,1.7,29962,1722,40.2,2.2,332,168,0.4,0.2,702,266,0.9,0.4,61,74,0.1,0.1,29594,2225,39.7,2.4,2451,504,3.3,0.7,614,224,0.8,0.3,155,210,0.2,0.3,59,57,0.1,0.1,120,115,0.2,0.2,74554,2207,74554,(X),49630,2124,66.6,1.8
65,8600000US10458,ZCTA5 10458,83960,2336,83960,(X),80492,2326,95.9,0.9,3468,766,4.1,0.9,80492,2326,95.9,0.9,14887,1433,17.7,1.6,16690,1330,19.9,1.6,310,161,0.4,0.2,2479,468,3.0,0.6,31,49,0.0,0.1,46095,2303,54.9,2.0,3468,766,4.1,0.9,809,294,1.0,0.4,31,40,0.0,0.1,414,242,0.5,0.3,66,52,0.1,0.1,83960,2336,83960,(X),58563,2207,69.8,1.5
66,8600000US10459,ZCTA5 10459,48351,1780,48351,(X),46886,1701,97.0,0.7,1465,354,3.0,0.7,46886,1701,97.0,0.7,5615,706,11.6,1.5,16650,1270,34.4,2.4,255,130,0.5,0.3,377,172,0.8,0.4,30,45,0.1,0.1,23959,1640,49.6,2.6,1465,354,3.0,0.7,361,169,0.7,0.4,107,78,0.2,0.2,15,21,0.0,0.1,116,76,0.2,0.2,48351,1780,48351,(X),32830,1784,67.9,2.4
67,8600000US10460,ZCTA5 10460,59505,1948,59505,(X),57822,1917,97.2,0.8,1683,500,2.8,0.8,57822,1917,97.2,0.8,9370,1100,15.7,1.8,18035,1638,30.3,2.3,168,127,0.3,0.2,945,325,1.6,0.5,106,123,0.2,0.2,29198,1735,49.1,2.8,1683,500,2.8,0.8,405,270,0.7,0.5,76,116,0.1,0.2,8,11,0.0,0.1,112,104,0.2,0.2,59505,1948,59505,(X),41359,1615,69.5,2.3
68,8600000US10461,ZCTA5 10461,50348,1808,50348,(X),48189,1776,95.7,1.0,2159,492,4.3,1.0,48189,1776,95.7,1.0,24270,1336,48.2,2.6,4714,768,9.4,1.4,250,156,0.5,0.3,5600,754,11.1,1.4,43,48,0.1,0.1,13312,1377,26.4,2.5,2159,492,4.3,1.0,457,224,0.9,0.4,26,30,0.1,0.1,162,100,0.3,0.2,22,33,0.0,0.1,50348,1808,50348,(X),23466,1385,46.6,1.7
69,8600000US10462,ZCTA5 10462,76756,1984,76756,(X),72715,2094,94.7,1.0,4041,763,5.3,1.0,72715,2094,94.7,1.0,17796,1162,23.2,1.5,21705,1474,28.3,1.8,714,306,0.9,0.4,9683,1078,12.6,1.4,19,31,0.0,0.1,22798,1818,29.7,2.0,4041,763,5.3,1.0,730,213,1.0,0.3,30,24,0.0,0.1,571,441,0.7,0.6,218,168,0.3,0.2,76756,1984,76756,(X),36483,1820,47.5,1.8
70,8600000US10463,ZCTA5 10463,71360,2051,71360,(X),66911,1999,93.8,1.0,4449,769,6.2,1.0,66911,1999,93.8,1.0,32109,1595,45.0,2.0,10764,1319,15.1,1.8,422,257,0.6,0.4,2665,419,3.7,0.6,51,60,0.1,0.1,20900,2021,29.3,2.6,4449,769,6.2,1.0,1283,451,1.8,0.6,335,335,0.5,0.5,369,165,0.5,0.2,153,135,0.2,0.2,71360,2051,71360,(X),36472,1968,51.1,2.0
71,8600000US10464,ZCTA5 10464,4434,610,4434,(X),4256,616,96.0,4.5,178,202,4.0,4.5,4256,616,96.0,4.5,3495,538,78.8,8.8,119,64,2.7,1.5,0,12,0.0,0.7,245,265,5.5,5.7,0,12,0.0,0.7,397,303,9.0,6.5,178,202,4.0,4.5,0,12,0.0,0.7,0,12,0.0,0.7,13,18,0.3,0.4,0,12,0.0,0.7,4434,610,4434,(X),1117,443,25.2,8.1
72,8600000US10465,ZCTA5 10465,44205,1512,44205,(X),43023,1480,97.3,0.7,1182,304,2.7,0.7,43023,1480,97.3,0.7,26656,1088,60.3,2.7,5638,1087,12.8,2.4,43,63,0.1,0.1,1373,393,3.1,0.9,7,16,0.0,0.1,9306,1255,21.1,2.5,1182,304,2.7,0.7,316,169,0.7,0.4,59,63,0.1,0.1,102,74,0.2,0.2,74,75,0.2,0.2,44205,1512,44205,(X),19568,1463,44.3,2.4
73,8600000US10466,ZCTA5 10466,72479,1791,72479,(X),70526,1771,97.3,0.7,1953,527,2.7,0.7,70526,1771,97.3,0.7,8034,1106,11.1,1.5,52974,1982,73.1,1.8,687,383,0.9,0.5,2183,615,3.0,0.8,42,49,0.1,0.1,6606,1032,9.1,1.5,1953,527,2.7,0.7,473,264,0.7,0.4,255,224,0.4,0.3,31,37,0.0,0.1,185,115,0.3,0.2,72479,1791,72479,(X),15971,1125,22.0,1.6
74,8600000US10467,ZCTA5 10467,103732,2572,103732,(X),99544,2488,96.0,0.7,4188,770,4.0,0.7,99544,2488,96.0,0.7,23469,1945,22.6,1.9,36599,1882,35.3,1.5,666,258,0.6,0.3,6000,746,5.8,0.7,51,71,0.0,0.1,32759,2441,31.6,2.2,4188,770,4.0,0.7,1278,366,1.2,0.3,39,46,0.0,0.1,632,482,0.6,0.5,156,131,0.2,0.1,103732,2572,103732,(X),54286,2219,52.3,1.8
75,8600000US10468,ZCTA5 10468,78647,2135,78647,(X),76171,2112,96.9,0.8,2476,629,3.1,0.8,76171,2112,96.9,0.8,9933,1321,12.6,1.7,16529,1324,21.0,1.6,814,341,1.0,0.4,2280,503,2.9,0.7,8,15,0.0,0.1,46607,2236,59.3,2.2,2476,629,3.1,0.8,855,418,1.1,0.5,91,137,0.1,0.2,153,107,0.2,0.1,53,35,0.1,0.1,78647,2135,78647,(X),59588,2262,75.8,1.6
76,8600000US10469,ZCTA5 10469,73870,2253,73870,(X),71657,2222,97.0,0.8,2213,594,3.0,0.8,71657,2222,97.0,0.8,13892,1180,18.8,1.6,40103,2059,54.3,2.2,579,415,0.8,0.6,4837,1183,6.5,1.6,63,96,0.1,0.1,12183,1505,16.5,1.9,2213,594,3.0,0.8,290,132,0.4,0.2,37,36,0.1,0.1,132,83,0.2,0.1,118,95,0.2,0.1,73870,2253,73870,(X),21418,1662,29.0,2.0
77,8600000US10471,ZCTA5 10471,21896,1051,21896,(X),21145,1014,96.6,0.8,751,191,3.4,0.8,21145,1014,96.6,0.8,15033,1098,68.7,3.3,2583,502,11.8,2.3,38,35,0.2,0.2,1366,365,6.2,1.6,0,22,0.0,0.1,2125,456,9.7,2.1,751,191,3.4,0.8,179,92,0.8,0.4,28,26,0.1,0.1,146,77,0.7,0.4,43,50,0.2,0.2,21896,1051,21896,(X),5003,618,22.8,2.4
78,8600000US10472,ZCTA5 10472,68796,1716,68796,(X),66171,1737,96.2,1.0,2625,708,3.8,1.0,66171,1737,96.2,1.0,10270,1246,14.9,1.7,18821,1316,27.4,1.9,971,587,1.4,0.9,4581,975,6.7,1.4,0,28,0.0,0.1,31528,1969,45.8,2.8,2625,708,3.8,1.0,587,315,0.9,0.5,39,44,0.1,0.1,505,378,0.7,0.5,88,39,0.1,0.1,68796,1716,68796,(X),44403,1632,64.5,1.9
79,8600000US10473,ZCTA5 10473,59609,1886,59609,(X),57586,2039,96.6,0.9,2023,530,3.4,0.9,57586,2039,96.6,0.9,22362,2079,37.5,3.2,24533,2126,41.2,3.4,343,212,0.6,0.4,1039,306,1.7,0.5,0,28,0.0,0.1,9309,1411,15.6,2.2,2023,530,3.4,0.9,608,259,1.0,0.4,161,166,0.3,0.3,47,52,0.1,0.1,38,41,0.1,0.1,59609,1886,59609,(X),36265,2147,60.8,2.9
80,8600000US10474,ZCTA5 10474,12127,861,12127,(X),11729,840,96.7,1.5,398,191,3.3,1.5,11729,840,96.7,1.5,1118,375,9.2,3.0,4782,772,39.4,5.6,36,40,0.3,0.3,10,15,0.1,0.1,43,92,0.4,0.7,5740,863,47.3,6.6,398,191,3.3,1.5,201,178,1.7,1.5,0,19,0.0,0.3,0,19,0.0,0.3,22,35,0.2,0.3,12127,861,12127,(X),7688,841,63.4,5.8
81,8600000US10475,ZCTA5 10475,43208,2382,43208,(X),41286,2276,95.6,2.0,1922,879,4.4,2.0,41286,2276,95.6,2.0,7682,1776,17.8,3.9,26281,2314,60.8,5.1,316,423,0.7,1.0,1206,448,2.8,1.0,0,25,0.0,0.1,5801,1881,13.4,4.2,1922,879,4.4,2.0,389,299,0.9,0.7,0,25,0.0,0.1,0,25,0.0,0.1,214,222,0.5,0.5,43208,2382,43208,(X),12542,2259,29.0,4.6
